('HP:0011750', 'GO:0005794')
('HP:0002024', 'GO:0097435')
('HP:0200034', 'GO:0043407')
('HP:0002072', 'GO:0006281')
('HP:0000733', 'GO:0007420')
('HP:0004333', 'GO:0005739')
('HP:0002987', 'GO:0030509')
('HP:0000684', 'GO:0005546')
('HP:0000648', 'GO:1900087')
('HP:0001347', 'GO:0032461')
('HP:0000110', 'GO:0001102')
('HP:0004322', 'GO:0032006')
('HP:0000112', 'GO:0032496')
('HP:0100758', 'GO:0031982')
('HP:0011304', 'GO:0000785')
('HP:0001601', 'GO:0006289')
('HP:0001347', 'GO:0003688')
('HP:0002240', 'GO:0005006')
('HP:0000988', 'GO:0042645')
('HP:0007495', 'GO:0016310')
('HP:0002063', 'GO:0051897')
('HP:0001332', 'GO:0032526')
('HP:0001401', 'GO:0005739')
('HP:0002885', 'GO:0010628')
('HP:0001537', 'GO:0032587')
('HP:0000916', 'GO:0003723')
('HP:0002240', 'GO:0032792')
('HP:0000337', 'GO:0051973')
('HP:0002020', 'GO:0030864')
('HP:0001874', 'GO:0006351')
('HP:0003090', 'GO:0045893')
('HP:0000445', 'GO:0010862')
('HP:0012658', 'GO:0006355')
('HP:0005692', 'GO:0000079')
('HP:0007513', 'GO:0019901')
('HP:0000987', 'GO:0031398')
('HP:0000445', 'GO:0051092')
('HP:0000368', 'GO:0005788')
('HP:0001903', 'GO:0061098')
('HP:0000572', 'GO:0007160')
('HP:0000823', 'GO:0004197')
('HP:0001945', 'GO:0050729')
('HP:0000486', 'GO:0016740')
('HP:0009886', 'GO:0019899')
('HP:0004322', 'GO:0008504')
('HP:0001680', 'GO:0000983')
('HP:0000490', 'GO:0004725')
('HP:0001123', 'GO:0031410')
('HP:0002837', 'GO:0000981')
('HP:0100639', 'GO:0010468')
('HP:0100659', 'GO:0046777')
('HP:0003307', 'GO:0005743')
('HP:0005280', 'GO:2000114')
('HP:0000589', 'GO:0031648')
('HP:0002084', 'GO:0031647')
('HP:0003202', 'GO:0032268')
('HP:0000774', 'GO:0030512')
('HP:0004374', 'GO:0007093')
('HP:0003261', 'GO:0043234')
('HP:0003202', 'GO:0005138')
('HP:0000368', 'GO:0045861')
('HP:0011800', 'GO:0042472')
('HP:0006827', 'GO:0042803')
('HP:0000217', 'GO:0006511')
('HP:0000819', 'GO:0090200')
('HP:0003119', 'GO:0033138')
('HP:0001511', 'GO:0042509')
('HP:0001746', 'GO:0016363')
('HP:0002751', 'GO:0032781')
('HP:0000458', 'GO:0000987')
('HP:0002039', 'GO:0090263')
('HP:0003121', 'GO:0010629')
('HP:0001876', 'GO:0032092')
('HP:0001387', 'GO:0031624')
('HP:0000006', 'GO:0008465')
('HP:0000572', 'GO:0070888')
('HP:0003394', 'GO:0001649')
('HP:0002107', 'GO:0001933')
('HP:0000389', 'GO:0043588')
('HP:0002797', 'GO:0061036')
('HP:0008736', 'GO:0004721')
('HP:0001518', 'GO:0046427')
('HP:0001260', 'GO:2000781')
('HP:0001643', 'GO:0005543')
('HP:0000823', 'GO:0051895')
('HP:0002650', 'GO:0046487')
('HP:0001864', 'GO:0042826')
('HP:0000478', 'GO:0045121')
('HP:0000776', 'GO:0043406')
('HP:0100759', 'GO:0031965')
('HP:0000414', 'GO:0033683')
('HP:0000378', 'GO:0008584')
('HP:0030680', 'GO:0006259')
('HP:0009755', 'GO:0000987')
('HP:0000113', 'GO:0005096')
('HP:0200042', 'GO:0071383')
('HP:0001260', 'GO:0003951')
('HP:0002878', 'GO:0050728')
('HP:0003577', 'GO:0030182')
('HP:0000639', 'GO:0086013')
('HP:0001522', 'GO:0051973')
